City,Population,Classification,Political Stance
Limoges,2213,small,Liberal
West Island,236000,large,Liberal
Belcarra,687,rural,NDP
Amherstview,17943,small,Conservative
Sturgeon Falls,6939,small,Liberal
Mercier,14626,small,Bloc
Enfield,36,rural,Liberal
Mississippi Mills,14740,small,Conservative
Long Sault,2154,small,Conservative
Vineland,4395,small,Conservative
Cavan Monaghan,10016,small,Conservative
Nictaux,5218,small,Conservative
Baie-Saint-Paul,7371,small,Bloc
Kinngait,1441,small,NDP
Abitibi,24764,small,Bloc
Pangnirtung,1504,small,NDP
St-Georges,32935,medium,Liberal
Candiac,22997,small,Bloc
Pictou,3107,small,Liberal
Lanaudière,528598,large,Bloc
Fort Frances,7466,small,Liberal
Olds,9209,small,Conservative
Mckellar,1419,small,Conservative
Tweed,6067,small,Conservative
Drumheller,7909,small,Conservative
Bonnyville,6404,small,Conservative
Nanton,2167,small,Conservative
Stettler,5695,small,Conservative
McLennan,695,rural,Conservative
Tofino,2516,small,NDP
Castor,803,rural,Conservative
Spirit River,849,rural,Conservative
Sanirajak,891,rural,NDP
Bashaw,848,rural,Conservative
Radway,231,rural,Conservative
Chesterfield Inlet,397,rural,NDP
Wainwright,6606,small,Conservative
Tahsis,393,rural,NDP
Morinville,10385,small,Conservative
Norman Wells,673,rural,Liberal
Elgin,94752,medium,Conservative
Fort Macleod,3297,small,Conservative
Kugluktuk,1382,small,NDP
Ohsweken,1500,small,Conservative
Blairmore,1522,small,Conservative
Grande Cache,3276,small,Conservative
Paris,14956,small,Conservative
Saint-leonard,858,rural,Liberal
Gagetown,324,rural,Conservative
Valleyview,1673,small,Conservative
Canoe Narrows,950,rural,Conservative
Englehart,1442,small,NDP
Durham,696992,large,Conservative
Nipawin,4570,small,Conservative
Wardsville,420,rural,Conservative
Annapolis,21252,small,Conservative
Black Diamond,2574,small,Conservative
Two Hills,1416,small,Conservative
Baker Lake,2061,small,NDP
Vulcan,1769,small,Conservative
Mundare,689,rural,Conservative
Consort,644,rural,Conservative
Galahad,125,rural,Conservative
Belwood,31093,medium,Conservative
Merritt,7051,small,Conservative
Cardston,3724,small,Conservative
Edmundston,16437,small,Liberal
McBride,588,rural,Conservative
Red Lake,4094,small,Conservative
Saint-Charles-Borromée,15285,small,Bloc
Selby,16879,small,Conservative
Uxbridge,21556,small,Liberal
Haldimand,49216,medium,Conservative
L'Île-Perrot,11638,small,Liberal
Rouyn-Noranda,42313,medium,Bloc
Boyle,825,rural,Conservative
Taber,8862,small,Conservative
Devon,6545,small,Conservative
Smoky Lake,1127,small,Conservative
The Glades,3377,small,Conservative
Banff,8305,small,Conservative
Lutselk'e,333,rural,Liberal
Delaware,18928,small,Conservative
Port McNeill,2356,small,NDP
Fort Simpson,1100,small,Liberal
Temiskaming Shores,9634,small,Liberal
Claresholm,3804,small,Conservative
Saint-Boniface,5156,small,Bloc
Chelmsford,6199,small,Liberal
Daysland,789,rural,Conservative
Grimshaw,2601,small,Conservative
Grande-riviere,3384,small,Liberal
Caledon,76581,medium,Conservative
Eastern Passage,439819,large,Liberal
Saint-lazare-de-bellechasse,1332,small,Conservative
Rockland,13625,small,Liberal
Ancaster,40557,medium,Liberal
Athabasca,6959,small,Conservative
Richelieu,97873,medium,Bloc
Saint-Georges,32935,medium,Liberal
Remote,0,remote,None
